快乐通宝小额贷款,数据分析师,长沙,12-16K·13薪,5-10年本科,互联网,"数据分析,信贷风险管理,风险分析,信贷风控,数据分析师"
兴盛优选,商业数据分析,长沙,15-30K,3-5年本科,电子商务,"BI,建模,业务条线,商业数据分析,运营"
名利天下,数据分析师+包吃包住,长沙,3-5K,经验不限学历不限,移动互联网,"数据分析,包吃,包住,月休4天,交易数据"
三一集团,大数据分析工程师,长沙,12-18K·14薪,3-5年本科,其他行业,"数据仓库,大数据,数据挖掘,商业分析,数据开发"
斯珀,数据分析,成都,4-6K,经验不限大专,信息安全,"直通车,店铺推广,爬虫工具,淘数据,数据银行"
乐狗科技,数据分析,成都,11-22K,经验不限本科,游戏,"数据决策,预警机制,提出策略,数据挖掘方法,统计学知识"
语言桥,Python数据分析师,成都,10-13K·13薪,1-3年本科,翻译,"爬虫,Python,协议分析,加工处理,python数据分析"
万益能源,数据分析师,成都,14-20K,3-5年本科,数据服务,"建模,位置数据,数据分析师,能源,市场数据"
绎达股份,数据分析师,成都,5-10K,1年以内硕士,咨询,"SPSS,SQL,Python,SAS,基础数据维护"
极广科技,数据分析工程师,成都,11-18K,3-5年大专,电子商务,"ETL,数据仓库,Hive,数据分析工程师,计算机"
千百棉,数据分析师,成都,4-6K,经验不限大专,批发/零售,"数据分析,数据分析师,数据指标,分析方法,销售数据"
全友家私,数据分析师,成都,8-10K,3-5年大专,生活服务,"商业分析,SQL,Python,业务域,运营现状"
SLC,Data Analytics 数据分析专员（2021届）,成都,10-15K,在校/应届本科,工程施工,"SQL,VBA,javascript,Data,Analytics"
京东物流-西南区域,数据分析岗,成都,6-10K,1-3年本科,物流/仓储,"Python,Pandas,SQL,数据仓库,DBA"
腾策管理,数据分析师,成都,10-11K,3-5年本科,工程施工,"MySQL,SPSS,BI,报表数据,数据分析师"
喜马拉雅,高级数据分析师（客服方向）,成都,8-12K·15薪,1-3年本科,移动互联网,"数据挖掘,主题分析,梳理业务,运营指标,高级数据分析师"
易初明通,高级数据分析工程师,成都,10-12K·15薪,3-5年大专,汽车生产,"数据分析工程师,BI,BA,协助业务部门,数据分析系统"
小鸡叫叫,高级数据分析师,成都,12-24K·13薪,3-5年本科,互联网,"SPSS,SQL,Python,数据挖掘,商业数据分析"
成都自如,数据分析主管,成都,8-13K·15薪,3-5年本科,其他服务业,"BI,Excel,SQL,销售运营,业务定价"
软通动力,数据分析工程师,成都,12-24K,3-5年大专,计算机软件,"Spark,Python,ETL,数据仓库,Hive"
生活家家居集团,数据分析师,成都,10-15K,经验不限本科,装修装饰,"商业分析,数据挖掘,Python,SQL,逻辑回归"
创力科技,数据分析师,成都,12-18K,3-5年本科,计算机软件,"数据分析师,客户战略,发展趋势,行业政策,同业竞争"
与梦同行,数据分析专员,成都,4-6K,1-3年大专,电子商务,"数据分析专员,数据业务,数据信息,定时更新,业务需求"
哈啰出行,资深数据分析师,成都,5-10K,1-3年本科,互联网,"R语言,Python,SQL,建模,资深数据分析师"
久远银海,数据分析,成都,10-15K·13薪,1-3年本科,计算机软件,"Python,数据挖掘,Spark,Hadoop,分布式技术"
嘉芸服饰,服饰商品数据分析,成都,3-6K,经验不限大专,生活服务,"数据处理,服饰,商品数据分析,结构,门店"
美尔贝,资深数据分析师,成都,15-25K,3-5年本科,移动互联网,"业务分析,分析方法论,客户行为数据,客户模型,建模"
青驹踏云,数据分析专员,成都,4-6K,1-3年本科,食品/饮料/烟酒,"数据分析专员,公司业务,日常数据,数据建模,业务部门"
瑞倪维,数据分析师,成都,5-8K,1年以内高中,美容/美发,"数据分析师,市场走向,早九晚六,薪资福利,请致电"
嘉谊互娱,数据分析师,成都,4-8K,1-3年本科,游戏,"SQL,数据处理,数据清洗,数据建模,数据分析师"
延华医疗研究院,数据分析师,成都,6-8K,1-3年本科,医疗,"SQL,BI,数据价值,数据分析师,顶层规划"
悦途航空,数据分析师助理,成都,4-6K,1年以内大专,旅游,"MySQL,分析师助理,招聘,机票,旅行社"
叮咚买菜,数据分析师,成都,20-30K·13薪,1-3年本科,互联网,"商业分析,SPSS,SAS,数据开发,Python"
爱知之星,数据分析师,成都,7-10K,3-5年本科,计算机软件,"SQL,数据挖掘,ETL,推动问题解决,数据分析师"
华西证券,数据分析,成都,9-14K,1-3年本科,证券/期货,"SQL,Python,BI,商业分析,客户行为数据"
观想科技,数据分析师,成都,15-25K,5-10年本科,计算机软件,"数据挖掘,Python,数据仓库,ETL,数据库开发"
我行我数,数据分析师,成都,8-13K,1-3年本科,数据服务,"商业分析,数据分析师,客户沟通,商业,分析框架"
建信金科,数据分析师,成都,11-20K·14薪,3-5年本科,银行,"数据仓库,SQL,Python,Hive,输出数据"
饿了么,商业数据分析师,成都,18-35K·13薪,3-5年本科,O2O,"Hive,SQL,商业分析,分布式技术,数据治理"
腾讯,企业微信数据分析师,成都,15-25K,3-5年本科,互联网,"用户增长,机器学习,Hive,核心策略,企业微信"
蚂蚁金服,数据分析师,成都,20-40K,3-5年本科,互联网,"ETL,商业分析,数据挖掘,数据开发,数据架构师"
云沣酒业,数据分析---电商方向,成都,7-12K,3-5年大专,其他行业,"电商,全日制大专及以上学历,数据运营,电商数据分析,运营数据"
四川钧力成,数据分析师,成都,6-8K,经验不限本科,数据服务,"Python,SPSS,多元统计,数据分析师,技术团队"
今日头条,数据分析师,成都,20-40K,1-3年本科,移动互联网,"数据分析,SQL,BI,数据仓库,ETL"
爱加密,数据分析,成都,6-10K,3-5年本科,移动互联网,"Excel,SPSS,Python,SQL,数据挖掘"
鑫川丰越,数据分析员（无人机巡检数据）,成都,5-8K,1-3年本科,数据服务,"航测,无人机,数据分析员,无人机巡检,社会保险"
北京知道创宇,数据分析师,成都,15-25K,5-10年本科,信息安全,"数据挖掘,Pandas,网络安全,Python,数据分析师"
中粮可口可乐(四川),数据分析师,成都,4-6K,1-3年本科,企业服务,"商业分析,统计学,活动数据,数据分析师,bms系统"
平安证券四川分公司,数据分析助理,成都,5-10K,经验不限大专,证券/期货,"福利待遇,周末双休,朝九晚六,更新统计,统计信息"
橙心优选,数据分析师,成都,8-12K·13薪,1-3年本科,食品/饮料/烟酒,"Python,商业分析,实验评估,数据分析师,出差"
BBD,数据分析师(J10484),成都,12-20K,3-5年本科,数据服务,"数据挖掘,实施模型,逻辑回归,数据分析师,金融信贷"
崇研科技,核技术与能源数据分析师,成都,7-12K,1-3年硕士,数据服务,"核技术,大数据,数据挖掘,数据库开发,能源"
成都运达科技,数据分析,成都,5-10K,1-3年本科,其他行业,"HR,数据分析流程,工作有责任心,总结数据,偶尔出差"
DaoCloud,数据分析师,成都,11-16K·13薪,5-10年本科,互联网,"商业分析,数据仓库,数据挖掘,Hive,建模"
中电科研究院公司,数据分析师,成都,12-14K,3-5年硕士,信息安全,"数据挖掘,Redis,ETL,分布式技术,主题分析"
之了,数据分析师,成都,11-14K·13薪,1-3年本科,在线教育,"ETL,行为建模,梳理业务,随机森林算法,数据挖掘算法"
集思鸣智,数据分析工程师,成都,11-18K,3-5年本科,计算机软件,"数据挖掘,SQL,数据仓库,Java,Python"
仙潭酒业,数据分析（数值方向）,成都,7-12K,经验不限本科,其他行业,"数值策划,数值建模,公司运营,线上活动,负责活动"
